,mean_score,q25_score,std_dev
Perempuan,3.949016814496582,3.821629213483146,0.36186774323544024
Laki-laki,3.830430195212781,3.6924264705882353,0.3486435105924017
<17,4.377049180327867,4.166666666666667,0.5041811628928117
17–34,3.946272426344148,3.783333333333333,0.4093920086628339
35–65,3.899917836752349,3.78904282115869,0.3555848897721626
>65,3.8727247082481897,3.764367816091954,0.3353790270495805
Sudah pernah menikah namun telah berpisah,4.014841418975416,3.9166666666666665,0.3716941458809354
Menikah dan memiliki anak,3.907963880367817,3.7750677506775068,0.3555395397837192
Belum Menikah,3.8998974280848873,3.7619999999999996,0.35299955975484093
Menikah namun belum memiliki anak,3.841971503426873,3.710526315789474,0.39671713465002173
S3,4.387978142076502,4.25,0.5875870678062456
Belum lulus SMA ataupun sederajat,4.20111855357757,4.071428571428571,0.39664466409502336
SMA ataupun sederajat,3.9920966452678788,3.954198473282443,0.3526708153868154
S2,3.8831371026749775,3.7586206896551726,0.39837321616054355
S1,3.860862475357971,3.7113180515759314,0.35534097768917955
